Name,ReleaseDate,Average Price,URL,Woman,ReleasePrice,Cluster,Collab,brand
Vans Vault OG Classic Slip-On LX Checkerboard,2706,146200.0,3,0,89000,31,0,61
Adidas x BAPE 3ST.002,1383,72000.0,20,0,195800,22,1,2
Nike Air Max 95 20th Anniversary Pure Platinum,2540,120000.0,29,0,254800,24,0,45
Nike Air Max 95 White Black,2700,208600.0,32,0,208900,32,0,45
Nike Air Force 1 Ultra Flyknit Low White Ice,2345,250000.0,33,0,189000,31,0,45
Nike Air Presto Mid Utility Grove Green,2114,109000.0,34,0,179000,20,0,45
Nike Air VaporMax Plus Black White,1549,170800.0,38,0,248000,22,0,45
Nike KD 7 Clearwater,2772,83000.0,39,0,195800,15,0,45
Nike Air Max 95 Camo Sunset,1599,270000.0,40,0,208900,18,0,45
Nike Air Force 1 Hi Retro QS University Blue,2447,160000.0,56,0,156600,27,0,45
Nike Air Presto Island Blue,2518,139000.0,65,0,167600,24,0,45
Nike Air Max 97 Silver Bullet 2013,3514,260000.0,67,0,202300,24,0,45
Nike Air Force 1 High Retro QS Summit White Chocolate,2475,148400.0,70,0,182800,17,0,45
(W) Nike Air Max 90 Ultra LOTC QS Shanghai,2286,139000.0,76,1,214600,6,0,45
(W) Nike M2K Tekno Team Orange,1546,102000.0,78,1,130500,25,0,45
Jordan Future Low Gamma,2604,183000.0,84,0,0,22,0,33
Jordan Legacy 312 Low Bred Cement,1227,152000.0,94,0,182800,14,0,33
(CB) Jordan 1 Crib Bootie Bred,1235,55200.0,103,0,58700,15,0,33
Nike Air Force 180 Olympic 2016,2231,205000.0,2779,0,182800,27,0,45
Nike Zoom Kobe 7 System Cheetah,3645,350000.0,2843,0,182800,14,0,45
Nike Air Foamposite Pro Crimson,3637,360000.0,2854,0,287200,27,0,45
Nike Air More Uptempo Dusk To Dawn,3616,399000.0,2869,0,208900,14,0,45
Jordan 9 Retro Johnny Kilroy,3602,254500.0,2890,0,208900,28,0,33
Jordan 9 Retro Fontay Montana (Knicks),3595,260000.0,2897,0,208900,17,0,33
